client reference no,balance,status,consumer name,consumer address,ssn
3babd861-fbef-4310-9ee3-b933185e0944,46935.14,IN_COLLECTION,Jennifer Griffin,"65628 Heather Mount
Manninghaven, KS 11580",610-49-2483
5b16ebed-2bba-4921-9421-012fe97043e3,76383.7,INACTIVE,Stephanie Livingston,"63127 Samantha Passage Apt. 346
East Rebeccastad, VA 59180",485-41-9373
9dfa8475-5da0-4aa3-8dbf-842584bf5e81,2672.11,PAID_IN_FULL,Debbie Freeman,"26712 Kimberly Estates
Andrewville, AL 11068",498-63-4917
5b16ebed-2bba-4921-9421-012fe97043e3,76383.7,INACTIVE,Mary Smith,"61869 Elizabeth Point
Cowanhaven, OK 12582",265-27-1335
41ba408a-364c-41e9-9be4-38442c068be2,13136.36,IN_COLLECTION,Lisa Martinez,"03914 Samantha Fall Apt. 536
West Juliestad, IN 95954",698-84-9842
8df2ece8-79d6-4d60-93ad-f6dacd60e1d5,43488.32,INACTIVE,Andrea Shaffer,"30632 Brian Gateway
Lake Lisaburgh, IL 81495",206-34-2996
506d4152-0887-432a-8526-0eae67990da9,12113.39,INACTIVE,Matthew Garcia,"953 Patterson Views
Elizabethbury, IA 52569",552-57-3398
1836ae98-5baf-4487-915e-3a3b45ca028b,68589.12,INACTIVE,Stephen Valenzuela,"5389 Wilson Center
New Lisaberg, MA 60579",546-26-0909
5fca3b83-fb59-42c8-b236-549ff58ab9ff,14156.01,IN_COLLECTION,Lisa Green,"2162 Claire Ford
Jenniferville, IN 69071",407-95-8390
1f00cfb4-17fa-437d-9b3c-5f2307ce17a9,97272.75,INACTIVE,Hannah Strong,"31446 Patel Heights Apt. 336
New Heiditown, NM 36230",160-40-3669
ed78c010-4970-4cec-9251-1ffd6c8dae6e,60961.07,IN_COLLECTION,Matthew Garcia,"953 Patterson Views
Elizabethbury, IA 52569",552-57-3398
ca0766c5-e94c-4687-a0e7-4ad23084250a,22985.96,INACTIVE,Susan Daniel,"46965 Elliott Shores
South Emily, IA 63713",133-79-4361
162aa613-7cb7-4ddd-b890-f0c3657790f7,87890.82,INACTIVE,Karen White,"4403 Lozano Garden Apt. 858
Scottside, CO 23434",567-42-3766
6a9bd0a0-eaff-4f22-8bff-b8d7cd340845,65674.69,IN_COLLECTION,Haley Jordan PhD,"213 Kimberly Place Apt. 917
Lake Stacy, WY 12011",221-93-4111
c99b0cdf-90ce-402a-b223-adfec61df25b,91920.45,IN_COLLECTION,Brent Jenkins,"9469 Simon Fort Apt. 083
New Jeffrey, VA 65477",458-18-0185
5e6556a8-c7d4-407f-bceb-3e9869828154,10524.01,PAID_IN_FULL,Roger King,"12141 Hensley Spring Suite 350
Douglasshire, AZ 45378",771-08-2282
df475137-3c09-46f1-8139-c6f71c8696d0,56020.6,PAID_IN_FULL,Andrew Wright,"82330 Ryan Hills Apt. 023
Nguyenview, IA 06364",281-02-5764
7ada4d38-6d48-494a-94ac-fb2dd3b8dbc5,12025.6,INACTIVE,Bobby Evans,"715 Berg Common
Jenniferhaven, VI 37712",304-15-6957
6155ee11-6eb5-4005-abc7-df2fe6c099ea,59464.79,PAID_IN_FULL,Gina Floyd,"974 Meza Harbors Apt. 248
North Jessica, NM 94520",446-44-2817
1836ae98-5baf-4487-915e-3a3b45ca028b,68589.12,INACTIVE,Ms. Joanna Paul,"91437 Linda Expressway
Romeromouth, AL 57796",661-03-7574
523d6fe2-3c5a-499b-9822-aff066cf6670,16041.31,IN_COLLECTION,Monica Jenkins,"357 Underwood Squares Apt. 199
Robertsborough, GU 70850",211-23-7210
473cc753-164e-4f97-b148-0961c7a72d65,33224.14,PAID_IN_FULL,Jeremy Thompson,"3246 Michael Gateway Apt. 917
New Kyle, AZ 90819",436-98-1892
94f4ddad-559a-48d3-9ad0-877e8883a99c,68863.13,IN_COLLECTION,Patrick Erickson,"PSC 5913, Box 0093
APO AA 51001",282-07-1078
c09a6165-1816-4d49-8308-80ac0e835ee7,73666.69,IN_COLLECTION,Roger King,"12141 Hensley Spring Suite 350
Douglasshire, AZ 45378",771-08-2282
5fca3b83-fb59-42c8-b236-549ff58ab9ff,14156.01,IN_COLLECTION,Brittany Garcia,"PSC 5842, Box 0580
APO AA 31991",424-42-4360
448f5f0f-f1b3-4062-9d0e-3b07aa2ec99c,73007.67,PAID_IN_FULL,Terry Alvarez,"7490 Whitaker Common
New Jimmy, MA 98895",411-32-6023
4d8555e3-0061-4201-8f89-189f286a3583,73108.96,IN_COLLECTION,Mark Henson,"780 Sean Brook
North Christophershire, AR 30586",031-62-9960
656e3b8d-fd88-4cf3-bc6b-1d23740653dd,52085.81,INACTIVE,Kim Peterson,"655 Diaz Rapid Suite 019
Port Charlesmouth, IA 71551",847-29-6907
162aa613-7cb7-4ddd-b890-f0c3657790f7,87890.82,INACTIVE,Barbara Holden,"1134 Sanchez Vista Apt. 932
Marcusfurt, WV 54352",562-19-7636
9a5c3393-290e-4098-a573-e1ad9171d4bd,83740.81,IN_COLLECTION,Brittany Garcia,"PSC 5842, Box 0580
APO AA 31991",424-42-4360
6b991f33-121d-4da9-8d8a-e3bcf40e5508,35836.46,IN_COLLECTION,Matthew Fox,"3688 Hall Gardens
Walshhaven, MT 76335",214-19-8674
f9df0194-6398-442e-9969-39697e3f5bdd,90017.06,PAID_IN_FULL,Karen White,"4403 Lozano Garden Apt. 858
Scottside, CO 23434",567-42-3766
bf88367f-7edb-4499-9158-6054bda76d18,75242.03,PAID_IN_FULL,Gabrielle Black,"36591 Rebecca Unions
Espinozabury, DC 00718",588-34-0428
7b8cbea1-0d56-42bb-a943-dc9b05ec432e,7606.74,IN_COLLECTION,Michelle Phillips,"23254 Floyd Station
Pottsmouth, MI 49122",214-56-2555
656e3b8d-fd88-4cf3-bc6b-1d23740653dd,52085.81,INACTIVE,Melissa Terry,"17074 Bennett Springs
Alyssaland, IA 58219",589-50-5760
1ca011c7-654a-4790-a0a8-7db8905e2cc6,95427.75,PAID_IN_FULL,Christopher Harrison,"6791 Chang Mountain
Port Jamiehaven, UT 24171",511-96-5364
42f6d7f6-df47-4d09-9539-30c87dd3a6ad,96024.8,IN_COLLECTION,Andrea Smith,"194 Cole Glen Apt. 628
Robinsontown, HI 77285",399-03-5089
5228e3ba-6c7d-4ba7-9bca-72c542345b9c,94290.77,IN_COLLECTION,Andrea Smith,"194 Cole Glen Apt. 628
Robinsontown, HI 77285",399-03-5089
a30c1614-fcc4-4769-9f3d-48c1a9f381bd,56303.49,IN_COLLECTION,Lauren Rodriguez,"162 Henry Ports Suite 658
Karenport, MA 24438",215-59-2138
048545ff-b82c-4594-baf4-ae54b614ea6c,14046.98,PAID_IN_FULL,Billy Pace,"568 Dillon Estate Apt. 424
Jonesberg, SC 88181",449-79-1370
9dfa8475-5da0-4aa3-8dbf-842584bf5e81,2672.11,PAID_IN_FULL,Michael Mosley,"674 Carlos Via
Lake Nicholas, AK 34688",708-85-3628
6ab38271-46fd-4222-b8b3-4d4afa3ad8d4,39326.66,IN_COLLECTION,Gabriel Lewis,"6780 Gould Centers
West Jeffreymouth, LA 67474",581-35-9605
678027b8-3a5b-4ec2-b1d2-959514234faa,21158.58,IN_COLLECTION,Michael Mosley,"674 Carlos Via
Lake Nicholas, AK 34688",708-85-3628
0e4a8278-88ad-435a-a951-bba0fb8eab00,52099.16,INACTIVE,Sandra Guerrero,"107 Donaldson Valleys
Lake Christopherbury, AZ 35983",812-65-2155
448f5f0f-f1b3-4062-9d0e-3b07aa2ec99c,73007.67,PAID_IN_FULL,Pamela Hansen,"660 Sara Land Suite 896
North Anthonyberg, MS 38098",475-51-8615
42f6d7f6-df47-4d09-9539-30c87dd3a6ad,96024.8,IN_COLLECTION,Makayla Roman,"356 Montoya Way
Changland, VA 05604",778-20-6694
ae006e71-3bac-4eae-9a95-152e9abc63aa,16389.99,INACTIVE,Gregory Marks,"PSC 0156, Box 4223
APO AA 18544",185-47-4236
79c6e72f-d4e3-4b0f-9716-b0315041cfb6,51708.34,INACTIVE,Jennifer Powers,"Unit 3871 Box 8792
DPO AA 79992",259-99-6469
3b0156fc-4efc-43bc-bf5d-ee07bb008e1a,52609.18,INACTIVE,Roger King,"12141 Hensley Spring Suite 350
Douglasshire, AZ 45378",771-08-2282
2472e1d8-8376-4421-9391-8e3d1576cba8,65608.59,INACTIVE,Jonathan Fischer,"42640 Gardner Glens
North Angelaborough, AK 80614",487-18-0632
39711503-0dea-487c-bc19-ba57f53d4ed4,83303.72,PAID_IN_FULL,Scott Smith,"02629 William Run
Jacobstad, PW 77688",355-09-4108
250df81a-9c60-46d5-a55e-f4cbaeb170c4,8698.22,INACTIVE,Hannah Strong,"31446 Patel Heights Apt. 336
New Heiditown, NM 36230",160-40-3669
94f4ddad-559a-48d3-9ad0-877e8883a99c,68863.13,IN_COLLECTION,Steven Mathis,"2091 Beth Inlet
Hunterside, PW 23094",760-15-3802
3a058eef-b502-417e-a469-e1e2366b1e53,20451.92,PAID_IN_FULL,Sherry Long,"62219 Tina Walk Apt. 725
New Tyler, AR 67121",084-24-7615
3babd861-fbef-4310-9ee3-b933185e0944,46935.14,IN_COLLECTION,Stephen Vaughan,"7977 Carol Forks
Spearsmouth, NM 99017",221-02-0690
9f47e9a6-cb16-4cc1-a62c-637173346108,57074.4,PAID_IN_FULL,Robert Russell,"686 Hines Orchard
Riveratown, ME 52997",044-04-7189
9a5c3393-290e-4098-a573-e1ad9171d4bd,83740.81,IN_COLLECTION,Phillip Casey,"32843 Hoffman Square Apt. 836
Bullockmouth, FL 72758",018-34-9836
5c196172-9184-49c8-aed7-043cf8ff2a42,82975.63,INACTIVE,Mark Campbell,"2865 Patricia Cliffs Apt. 488
Farleyton, WI 81061",485-66-2019
9f450a75-b54c-4234-8dc4-a25e20746c1c,45178.41,INACTIVE,Lauren Rodriguez,"162 Henry Ports Suite 658
Karenport, MA 24438",215-59-2138
448f5f0f-f1b3-4062-9d0e-3b07aa2ec99c,73007.67,PAID_IN_FULL,Adam Hawkins,"386 Johnson Track
Bryantside, DC 27640",057-49-1489
5357adca-4d5a-44eb-b10b-ea93c30bccfa,28884.29,INACTIVE,Jennifer Griffin,"65628 Heather Mount
Manninghaven, KS 11580",610-49-2483
d0966f8b-babf-4158-bc2d-8f7b73e4123d,95419.12,IN_COLLECTION,Mary Mcdonald,"PSC 5261, Box 4485
APO AP 02976",656-62-9925
0c64edc5-247c-4f82-9027-01b5a0c34099,10241.23,INACTIVE,Christopher Rodriguez,"465 Hall Island
Johnton, CT 98651",561-31-8986
bf88367f-7edb-4499-9158-6054bda76d18,75242.03,PAID_IN_FULL,Catherine Oconnell,"4059 Smith Pass Apt. 874
South Eric, TN 11417",453-68-8108
4b24f525-a84b-4c58-8276-9cb6eb31e28d,56018.6,PAID_IN_FULL,Angela Brown,"8459 Bryce Ferry Apt. 544
Port Jeff, IN 66922",297-48-9808
fbd7fae0-069b-478d-9851-fb20f79ce334,40092.75,PAID_IN_FULL,Billy Pace,"568 Dillon Estate Apt. 424
Jonesberg, SC 88181",449-79-1370
870299ab-43e5-471e-b632-aa8a1f43b0c3,5584.5,INACTIVE,Heather Nelson,"3719 Daniel Point Apt. 234
Lake Jaredborough, SD 04725",579-39-8700
8409a51c-c940-4235-aa2a-8cd0dea5abef,77452.56,INACTIVE,Gina Floyd,"974 Meza Harbors Apt. 248
North Jessica, NM 94520",446-44-2817
c8d1fca4-85dd-4037-8afe-5bc7d6e08161,97090.8,PAID_IN_FULL,Adam Hawkins,"386 Johnson Track
Bryantside, DC 27640",057-49-1489
405a84e3-8a20-4c69-bb13-a4fb21aa15c3,16720.29,INACTIVE,Raymond Anderson,"PSC 5696, Box 8293
APO AE 64785",693-09-5826
3d5153c5-cee1-4f8a-8750-8dd783a45413,28641.92,IN_COLLECTION,Andrew Wright,"82330 Ryan Hills Apt. 023
Nguyenview, IA 06364",281-02-5764
14ecf2a0-aa2f-48f8-be25-66755de72d20,27263.34,IN_COLLECTION,Roger King,"12141 Hensley Spring Suite 350
Douglasshire, AZ 45378",771-08-2282
731dc95f-f4b7-4331-847d-306c804ab49c,78879.53,INACTIVE,Heather Lambert,"616 Miller Heights Suite 268
North Josephview, UT 90983",130-57-9448
ae1dc022-b530-49f0-9818-0329c665c232,9089.85,PAID_IN_FULL,Tara Thomas,"1643 Carey Lake Suite 323
New Sandra, KY 22096",747-33-0637
694e0350-ef84-47b9-a3d9-692dbe7754de,4726.69,PAID_IN_FULL,David Fletcher,"631 Clarke Ville
Perezbury, TN 86175",884-84-9562
df475137-3c09-46f1-8139-c6f71c8696d0,56020.6,PAID_IN_FULL,Michael Mckinney,"20390 Roberts Plaza Suite 742
Kevinport, MI 44995",507-20-2791
5228e3ba-6c7d-4ba7-9bca-72c542345b9c,94290.77,IN_COLLECTION,Steven Brady,"1002 Cooper Flats Apt. 859
Greenfurt, NJ 10976",090-78-5827
0e4a8278-88ad-435a-a951-bba0fb8eab00,52099.16,INACTIVE,Sarah Walton,"42877 Philip Crest
Lynchtown, PR 73401",186-32-9463
f6e2918a-bd6c-4808-a76f-7f2706d3bb52,54075.79,IN_COLLECTION,Linda Bond,"430 Vargas Court
West Leahborough, FM 09255",503-59-3558
1f00cfb4-17fa-437d-9b3c-5f2307ce17a9,97272.75,INACTIVE,Ashley Oliver,"2856 James Streets Suite 557
Lake Jennifer, IN 37459",073-62-4745
efab8b07-caf6-465b-854b-aae979e3947e,29239.55,IN_COLLECTION,Janet Kelly,"303 Jeffrey Vista Suite 023
Port Savannah, KS 15190",293-41-0018
0c64edc5-247c-4f82-9027-01b5a0c34099,10241.23,INACTIVE,Eddie Simpson,"0402 Diaz Overpass
East Jamesberg, MH 35619",134-35-6038
dff3b2fe-ce65-4e00-9655-6fa548d2aa8f,33087.13,INACTIVE,Brian Miller,"9687 John Lock Apt. 674
North Christystad, WV 36088",387-48-3000
e2c8a384-c95d-4a32-a9a9-982924a55139,4542.13,INACTIVE,Sarah Schmidt,"PSC 7022, Box 8025
APO AE 05568",176-29-5515
1ab8491c-7e15-4f13-a338-cbd0e9ab9c80,45847.67,IN_COLLECTION,Jennifer Griffin,"65628 Heather Mount
Manninghaven, KS 11580",610-49-2483
ddf191e9-92b8-4e76-bbab-40af3993be9b,1829.26,PAID_IN_FULL,Morgan Lambert,"5177 Beltran Inlet Suite 230
Hortonview, MI 30974",298-58-3528
69f7f02e-007e-4aa6-87df-3eaf1713faca,78438.75,IN_COLLECTION,Mandy Foster,"9343 Barnes Highway Suite 105
Alexanderton, VA 38777",074-15-7692
9dcd6383-7c46-4c79-8c73-53667cbb98a0,13214.27,INACTIVE,Kelli Alvarez,"571 Nguyen Drives Apt. 198
New Michaelview, NC 49626",434-86-1875
9bfcf86a-a4c5-453c-97fd-c99a9c2d0649,36324.27,INACTIVE,Dr. Autumn House,"0931 Regina Club Suite 160
Port Rebeccaville, MH 15186",399-41-0450
38a0f363-e089-41a8-b8cd-9dc8b15dfe20,33962.88,IN_COLLECTION,Maria Cuevas,"53133 Dean Bridge Apt. 892
Deborahburgh, NV 40212",889-57-9480
1f00cfb4-17fa-437d-9b3c-5f2307ce17a9,97272.75,INACTIVE,Brandon Camacho,"0940 Buchanan Corner
New Tiffany, NE 46618",192-28-1168
dcde62ba-990d-4699-ac3a-456ba1b5a388,45717.64,IN_COLLECTION,Donna Sweeney,"3356 Graves Manor
Port Michaelmouth, VI 05592",271-92-9924
5ce5359b-7670-46d9-80c8-ff04cc400958,74809.65,IN_COLLECTION,Jessica Shaffer,"7065 Hall Spring Suite 121
North Kristen, SC 19105",345-96-2322
4ee52843-cc21-469d-8a1b-ccf67e4773e4,40732.49,IN_COLLECTION,Angela Brown,"8459 Bryce Ferry Apt. 544
Port Jeff, IN 66922",297-48-9808
ca0766c5-e94c-4687-a0e7-4ad23084250a,22985.96,INACTIVE,Jennifer Gaines,"Unit 2819 Box 4086
DPO AP 54444",307-44-4420
41dc8344-f8bf-44eb-abc3-d7a160772843,8661.3,PAID_IN_FULL,Stephanie Livingston,"63127 Samantha Passage Apt. 346
East Rebeccastad, VA 59180",485-41-9373
1ab8491c-7e15-4f13-a338-cbd0e9ab9c80,45847.67,IN_COLLECTION,Daniel Jacobs,"USNV Clark
FPO AP 25424",795-40-1224
6d1fa2c2-f2f9-4acb-9997-0fc9e4d955dc,20945.4,INACTIVE,Kelli Alvarez,"571 Nguyen Drives Apt. 198
New Michaelview, NC 49626",434-86-1875
3b64af50-cefe-42f3-8c4b-fc78ea78add6,82678.71,INACTIVE,Leslie Smith,"USNV Ellison
FPO AP 61238",108-74-3629
8e98956c-0046-48ab-b532-48e99a10e087,78894.28,INACTIVE,Daniel Scott V,"258 David Field Apt. 638
Christopherside, IL 92722",191-29-4419
5357adca-4d5a-44eb-b10b-ea93c30bccfa,28884.29,INACTIVE,Brian Conley,"498 Davidson Cape Apt. 030
Lake Faithburgh, DE 85005",640-66-4230
c31f2116-5582-4da1-8a3f-5997ea335c17,9119.57,PAID_IN_FULL,Julie Schmitt MD,"528 Jessica Pass
West Brett, SD 07345",370-13-0508
1f00cfb4-17fa-437d-9b3c-5f2307ce17a9,97272.75,INACTIVE,Michael Turner,"306 Martinez Gardens Suite 641
Brianbury, PA 96263",664-24-3768
d2da4cb8-9992-4781-8870-f34b2b0f9716,52533.12,IN_COLLECTION,Danielle Morris,"6856 Ballard Ford
Nguyenville, MP 63223",463-90-1946
09d7ac49-68d9-4472-96e1-8aafbfc5a9ca,73356.48,INACTIVE,Alicia Oneill,"2029 Jason Loaf Apt. 345
North Jessica, WY 22631",807-24-1099
f45dc7a0-49fa-4b87-81cf-ce49139a2ef5,95793.44,PAID_IN_FULL,Erin Wade,"4805 Palmer Ways
East Christinemouth, MD 96005",262-86-6646
b4076831-1b52-4418-90b5-a7716cd94946,46738.14,PAID_IN_FULL,Jennifer Johnson,"526 Mark Drives Suite 734
Christopherbury, NY 60776",227-78-3352
553efdb3-2baf-4c2a-88e2-7417d6bb0409,53670.34,PAID_IN_FULL,Laura Reynolds,"05064 Roberts Crossroad Suite 849
West George, IL 05044",813-82-4847
5901100b-efa5-433e-aad8-c8f46635ee36,80200.64,IN_COLLECTION,Phillip Casey,"32843 Hoffman Square Apt. 836
Bullockmouth, FL 72758",018-34-9836
f7537da4-324c-42e7-b55e-2f5cde397296,42294.89,IN_COLLECTION,Joel Robinson,"934 Thomas Station
Portermouth, MN 32047",835-67-4138
2c15e4a6-942d-4c32-a786-91b275c89691,41453.21,IN_COLLECTION,Gabriel Lewis,"6780 Gould Centers
West Jeffreymouth, LA 67474",581-35-9605
1d35e6c6-516c-4316-86c4-f9f82f0ccc3d,63190.44,IN_COLLECTION,Madison Gray,"04831 Jesse Spurs Apt. 568
Lauraton, WI 50781",672-61-6045
653efa30-df55-4b5a-bfb1-5a8e1d0f6144,3752.86,PAID_IN_FULL,Barbara Holden,"1134 Sanchez Vista Apt. 932
Marcusfurt, WV 54352",562-19-7636
e9b4c4ba-7b89-4f63-8542-67b7930100ae,28300.51,INACTIVE,Rebecca Taylor,"53227 Ashley Bypass Apt. 312
Stevenhaven, MT 10568",223-44-1601
e845117c-7a07-43f0-abb9-8aee0d9e0aa4,35043.64,IN_COLLECTION,Susan Hanson,"98676 Bush Ranch Apt. 082
Port Jodyberg, NE 02969",742-86-3890
42f0ca78-d134-4a2c-b037-2fedf54ceb1a,90906.34,INACTIVE,Laura Reynolds,"05064 Roberts Crossroad Suite 849
West George, IL 05044",813-82-4847
94dd9036-f249-456c-a6e4-6b38e3a7e54a,16269.63,PAID_IN_FULL,Nancy Woodard,"477 Amber Radial
Port Hunter, TX 97637",618-03-2596
ae1dc022-b530-49f0-9818-0329c665c232,9089.85,PAID_IN_FULL,Renee Newton,"0797 Cole Plaza Apt. 513
Lake Chelsea, AS 09635",812-37-9814
653efa30-df55-4b5a-bfb1-5a8e1d0f6144,3752.86,PAID_IN_FULL,Brandon James,"65072 Williams Village
Ericton, ID 54938",448-99-1507
0c64edc5-247c-4f82-9027-01b5a0c34099,10241.23,INACTIVE,Peter Mullins,"921 Aaron Road
New Dana, CO 63803",528-03-9862
2c15e4a6-942d-4c32-a786-91b275c89691,41453.21,IN_COLLECTION,Kristin Mcpherson,"3150 Krystal Burg Suite 184
Gabrielborough, MH 01974",098-42-3846
079ad3e3-320d-49f1-8614-1b2c966287d3,67563.16,IN_COLLECTION,Michael Mosley,"674 Carlos Via
Lake Nicholas, AK 34688",708-85-3628
6b772727-3165-4eb2-84c8-43150ff48ff6,86005.32,INACTIVE,Cindy Brown,"600 Lee Pines
Katherineshire, FL 38246",742-47-1889
ce96b8ff-22cf-4319-9905-df1cacdfcd70,79782.47,PAID_IN_FULL,Rebecca Taylor,"53227 Ashley Bypass Apt. 312
Stevenhaven, MT 10568",223-44-1601
3babd861-fbef-4310-9ee3-b933185e0944,46935.14,IN_COLLECTION,Karl Mcdonald,"53453 Kevin Pass Apt. 616
Lesliemouth, NH 58026",419-60-4089
3066a193-5541-4ed8-873c-625634383f03,46852.46,IN_COLLECTION,Gina Floyd,"974 Meza Harbors Apt. 248
North Jessica, NM 94520",446-44-2817
5ae446ea-172b-441d-b3cb-77c71d8c8551,91641.68,PAID_IN_FULL,Haley Jordan PhD,"213 Kimberly Place Apt. 917
Lake Stacy, WY 12011",221-93-4111
44384df1-5efb-4379-93b4-8ee4bb15f90d,85730.34,INACTIVE,Jacqueline Carr,"2766 Sanders Creek
East John, CA 41085",194-49-9092
694e0350-ef84-47b9-a3d9-692dbe7754de,4726.69,PAID_IN_FULL,Kelly Rodriguez,"52232 Samantha Islands
Dianabury, VI 82701",430-18-3514
1d03761e-42b1-41b6-aef5-55b6ac3e69a2,80212.0,INACTIVE,Edward Brooks,"74651 Phillips Rapids Suite 664
Port Johnland, MN 14410",769-78-7093
3b0156fc-4efc-43bc-bf5d-ee07bb008e1a,52609.18,INACTIVE,Eric Hall,"25912 Christopher Island Apt. 759
Connormouth, NY 35972",146-98-4647
db6c6bfa-aff3-4109-8fc1-9eaf096e41ba,44138.65,INACTIVE,Erica Adams,"55373 John Mission
Port David, ND 72182",328-55-9685
e2538cb5-71dd-4541-aa2b-117e4addabf4,41056.71,INACTIVE,Michelle Hall,"8957 Smith Trafficway Apt. 476
North Annaton, NH 48952",668-71-3990
95b9e61b-3eba-43cc-a588-c36cab0fe054,22926.56,PAID_IN_FULL,Becky Mitchell,"54195 Mccoy Locks
Brianborough, TN 47492",242-40-8522
46beb643-6c27-47fc-a4f2-7c72496afb2b,66558.97,INACTIVE,Bobby Evans,"715 Berg Common
Jenniferhaven, VI 37712",304-15-6957
a278b9ad-3f79-4ced-84b0-b500dc976b8b,64892.11,INACTIVE,Angela Brown,"8459 Bryce Ferry Apt. 544
Port Jeff, IN 66922",297-48-9808
d3a035a0-5af9-4498-aed2-081f4411bd62,29347.27,IN_COLLECTION,Kenneth Thomas,"970 Horne Haven Suite 543
East Cindy, KY 75191",602-94-4594
8409a51c-c940-4235-aa2a-8cd0dea5abef,77452.56,INACTIVE,Bethany Kramer,"9286 Bailey Spring
East Stephenfort, MT 60125",385-17-5040
91a94d66-8d9e-41fe-905c-b2b844c67a9b,68791.24,IN_COLLECTION,Danielle Morris,"6856 Ballard Ford
Nguyenville, MP 63223",463-90-1946
0e55e468-cbb4-4760-9559-5cfb9bca75f3,43374.04,INACTIVE,Jennifer Powers,"Unit 3871 Box 8792
DPO AA 79992",259-99-6469
970c97b4-d7a3-4e4c-ac1b-aba6dd11c27f,19485.79,INACTIVE,Rebecca Taylor,"53227 Ashley Bypass Apt. 312
Stevenhaven, MT 10568",223-44-1601
c2a4b0d8-5475-43fe-8bec-d576f2914897,73341.26,PAID_IN_FULL,Gregory Garcia,"531 Baldwin Viaduct
Jennaville, GA 29437",852-16-4180
56f627bc-5ce0-4f51-9ca4-bf01de99bd47,73374.26,PAID_IN_FULL,Johnathan Bailey,"4362 George Forks Suite 141
Lewisborough, IL 66947",578-03-4001
dcde62ba-990d-4699-ac3a-456ba1b5a388,45717.64,IN_COLLECTION,Mike Forbes,"307 Lindsey Plaza
North Anthonyberg, SC 22636",729-26-4342
eab68f39-e1ac-4031-ab0b-3d7e8047b678,39633.7,IN_COLLECTION,Christopher Thomas,"08375 Abbott Track Apt. 473
Littlemouth, WA 77955",350-76-9546
329913f3-da35-412f-98c7-e6a27ced4ba7,25891.38,PAID_IN_FULL,Joel Robinson,"934 Thomas Station
Portermouth, MN 32047",835-67-4138
4b697036-b73c-4866-be02-476dbe63ca5e,60988.76,INACTIVE,Andrea Shaffer,"30632 Brian Gateway
Lake Lisaburgh, IL 81495",206-34-2996
048545ff-b82c-4594-baf4-ae54b614ea6c,14046.98,PAID_IN_FULL,Joseph Castaneda,"5960 Matthew Drive Apt. 801
North Michaelhaven, WV 05325",499-26-3432
e5a806b4-2106-4ed9-af67-3bb9226b2492,86209.68,INACTIVE,Justin Clark,"597 Rush Parkways Apt. 860
Lake Tylerton, AR 48303",481-34-3932
17a07738-0d62-4f6f-a5cd-dd02e3ad78b2,78817.97,PAID_IN_FULL,Julie Schmitt MD,"528 Jessica Pass
West Brett, SD 07345",370-13-0508
